DiseaseName,AssociatedGenes
Phosphoglycerate dehydrogenase deficiency,PHGDH
Phosphoglycerate kinase 1 deficiency,PGK1
Phosphohydroxylysinuria,PHYKPL
Phosphoribosylpyrophosphate synthetase superactivity,PRPS1
Phosphoserine aminotransferase deficiency,PSAT1
Phytanic acid storage disease,"PEX7, PHYH"
Pick disease,"MAPT, PSEN1"
Pierpont syndrome,TBL1XR1
Pierson syndrome,LAMB2
"Pigmentary disorder, reticulate, with systemic manifestations, X-linked",POLA1
Pigmentary pallidal degeneration,PANK2
Pigmentary retinal dystrophy,"PRPH2, RDH5, RHO, RLBP1"
"Pigmented nodular adrenocortical disease, primary, 1",PRKAR1A
"Pigmented nodular adrenocortical disease, primary, 2",PDE11A
"Pigmented nodular adrenocortical disease, primary, 3",PDE8B
"Pigmented nodular adrenocortical disease, primary, 4",PRKACA
Pigmented paravenous chorioretinal atrophy,CRB1
Pilarowski-Bjornsson syndrome,CHD1
Pili torti-deafness syndrome,BCS1L
Pili torti-developmental delay-neurological abnormalities syndrome,HEPHL1
Pilomatrixoma,CTNNB1
Pineal hyperplasia AND diabetes mellitus syndrome,INSR
Pioglitazone response,CYP2C8
Piroxicam response,CYP2C9
Pitt-Hopkins-like syndrome 1,CNTNAP2
Pitt-Hopkins-like syndrome 2,NRXN1
Pitt-Hopkins syndrome,TCF4
"Pituitary adenoma 3, multiple types",GNAS
"Pituitary adenoma 5, multiple types",CDH23
"Pituitary adenoma, growth hormone-secreting, 2",GPR101
Pituitary dependent hypercortisolism,"AIP, USP8"
"Pituitary hormone deficiency, combined",
"Pituitary hormone deficiency, combined 2",PROP1
"Pituitary hormone deficiency, combined 6",OTX2
"Pituitary hormone deficiency, combined, 1",POU1F1
Pityriasis rubra pilaris,CARD14
PLA2G6-associated neurodegeneration,
Plasma triglyceride level quantitative trait locus,ANGPTL4
"Plasminogen deficiency, type I",PLG
Platelet-activating factor acetylhydrolase deficiency,PLA2G7
Platelet-type bleeding disorder 11,GP6
"Platelet-type bleeding disorder 13, susceptibility to",TBXA2R
Platelet-type bleeding disorder 15,ACTN1
Platelet-type bleeding disorder 16,ITGA2B
Platelet-type bleeding disorder 17,GFI1B
Platelet-type bleeding disorder 18,RASGRP2
Platelet-type bleeding disorder 19,PRKACG
Platelet-type bleeding disorder 20,SLFN14
Platelet-type bleeding disorder 8,P2RY12
Platelet abnormalities with eosinophilia and immune-mediated inflammatory disease,ARPC1B
Platelet glycoprotein IV deficiency,CD36
"Platyspondylic dysplasia, Torrance type",COL2A1
Pleomorphic adenoma of salivary gland,PLAG1
"Pneumothorax, primary spontaneous",FLCN
Poikiloderma with neutropenia,USB1
"Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis",FAM111B
Poirier-Bienvenu neurodevelopmental syndrome,CSNK2B
Pol III-related leukodystrophy,
Polyagglutinable erythrocyte syndrome,C1GALT1C1
"Polyarteritis nodosa, childhoood-onset",ADA2
Polycystic kidney disease 2,PKD2
Polycystic kidney disease 3,GANAB
Polycystic kidney disease 4,PKHD1
Polycystic kidney disease 5,DZIP1L
Polycystic kidney disease 6 with or without polycystic liver disease,DNAJB11
"Polycystic kidney disease, adult type",PKD1
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 1,TYROBP
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 2,TREM2
Polycystic liver disease 1,PRKCSH
Polycystic liver disease 2,SEC63
Polycystic liver disease 3 with or without kidney cysts,ALG8
Polycystic liver disease 4 with or without kidney cysts,LRP5
Polycythemia vera,JAK2
"Polydactyly, postaxial, type a10",KIAA0825
"Polydactyly, postaxial, type a7",IQCE
"Polydactyly, postaxial, type A8",GLI1
"Polydactyly, postaxial, type A9",CIBAR1
"Polydactyly, preaxial II",LMBR1
Polyendocrine-polyneuropathy syndrome,DMXL2
"Polyglandular autoimmune syndrome, type 1",AIRE
Polyglucosan body myopathy,
Polyglucosan body myopathy 1 with or without immunodeficiency,RBCK1
Polyglucosan body myopathy 2,GYG1
"Polyhydramnios, megalencephaly, and symptomatic epilepsy",STRADA
Polymicrogyria with or without vascular-type ehlers-danlos syndrome,COL3A1
"Polymicrogyria, asymmetric",TUBB2B
"Polymicrogyria, bilateral frontoparietal",ADGRG1
"Polymicrogyria, bilateral perisylvian, autosomal recessive",ADGRG1
"Polymicrogyria, bilateral temporooccipital",FIG4
"Polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis",PI4KA
Polymorphous corneal dystrophy,
"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract",ABHD12
"Polyps, multiple and recurrent inflammatory fibroid, gastrointestinal",PDGFRA
"Polysubstance abuse, susceptibility to",FAAH
Pontocerebellar hypoplasia type 1,
Pontocerebellar hypoplasia type 1A,VRK1
Pontocerebellar hypoplasia type 2,
Pontocerebellar hypoplasia type 2A,TSEN54
Pontocerebellar hypoplasia type 2B,TSEN2
Pontocerebellar hypoplasia type 2C,TSEN34
Pontocerebellar hypoplasia type 2D,SEPSECS
Pontocerebellar hypoplasia type 3,PCLO
Pontocerebellar hypoplasia type 4,TSEN54
Pontocerebellar hypoplasia type 5,TSEN54
Pontocerebellar hypoplasia type 6,RARS2
Pontocerebellar hypoplasia type 8,CHMP1A
"Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal",ATAD3A
"Pontocerebellar hypoplasia, type 10",CLP1
"Pontocerebellar hypoplasia, type 11",TBC1D23
"Pontocerebellar hypoplasia, type 12",COASY
"Pontocerebellar hypoplasia, type 13",VPS51
"PONTOCEREBELLAR HYPOPLASIA, TYPE 14",PPIL1
"PONTOCEREBELLAR HYPOPLASIA, TYPE 15",CDC40
"Pontocerebellar hypoplasia, type 1b",EXOSC3
"Pontocerebellar hypoplasia, type 1c",EXOSC8
"Pontocerebellar hypoplasia, type 1d",EXOSC9
"PONTOCEREBELLAR HYPOPLASIA, TYPE 1E",SLC25A46
"PONTOCEREBELLAR HYPOPLASIA, TYPE 1F",EXOSC1
"Pontocerebellar hypoplasia, type 2e",VPS53
"Pontocerebellar hypoplasia, type 2f",TSEN15
"Pontocerebellar hypoplasia, type 7",TOE1
"Pontocerebellar hypoplasia, type 9",AMPD2
Pontoneocerebellar hypoplasia,
Popliteal pterygium syndrome,
Porencephaly 2,COL4A2
Poretti-Boltshauser syndrome,LAMA1
"Porokeratosis 1, Mibelli type",PMVK
"Porokeratosis 3, disseminated superficial actinic type",MVK
"Porokeratosis 7, multiple types",MVD
"Porokeratosis 8, disseminated superficial actinic type",SLC17A9
"Porokeratosis 9, multiple types",FDPS
Porphobilinogen synthase deficiency,ALAD
"Portal hypertension, noncirrhotic",DGUOK
Postaxial polydactyly type A1,GLI3
Postaxial polydactyly type A6,ZNF141
Posterior column ataxia-retinitis pigmentosa syndrome,FLVCR1
Posterior polymorphous corneal dystrophy 1,OVOL2
Posterior polymorphous corneal dystrophy 3,ZEB1
Postmenopausal osteoporosis,"CALCR, COL1A1, COL1A2, LRP5, PDLIM4"
Potassium-aggravated myotonia,SCN4A
Potocki-Lupski syndrome,FLCN
Prader-Willi syndrome,"HERC2, IPW, MAGEL2, MKRN3, MKRN3-AS1, NDN, NPAP1, PWAR1, PWRN1, SNORD115-1, SNORD116-1, SNRPN"
Preaxial hand polydactyly,GLI1
Preaxial polydactyly 4,GLI3
Precocious puberty,
"Precocious puberty, central, 1",KISS1R
"Precocious puberty, central, 2",MKRN3
Preeclampsia/eclampsia 1,NOS3
Preeclampsia/eclampsia 4,STOX1
Preeclampsia/eclampsia 5,CORIN
"Pregnancy loss, recurrent, susceptibility to, 1",F5
"Pregnancy loss, recurrent, susceptibility to, 2",F2
"Pregnancy loss, recurrent, susceptibility to, 3",ANXA5
Preimplantation embryonic lethality 1,TLE6
Preimplantation embryonic lethality 2,PADI6
Prekallikrein deficiency,KLKB1
"Premature aging syndrome, Penttinen type",PDGFRB
Premature chromatid separation trait,BUB1B
Premature ovarian failure,
Premature ovarian failure 1,FMR1
Premature ovarian failure 10,MCM8
Premature ovarian failure 11,ERCC6
Premature ovarian failure 12,SYCE1
Premature ovarian failure 13,MSH5
Premature ovarian failure 14,GDF9
Premature ovarian failure 15,FANCM
Premature ovarian failure 16,BNC1
Premature ovarian failure 17,XRCC2
Premature ovarian failure 18,C14orf39
Premature ovarian failure 19,HSF2BP
Premature ovarian failure 2a,DIAPH2
Premature ovarian failure 2b,POF1B
Premature ovarian failure 3,FOXL2
Premature ovarian failure 5,NOBOX
Premature ovarian failure 6,FIGLA
Premature ovarian failure 7,NR5A1
Premature ovarian failure 8,STAG3
Premature ovarian failure 9,HFM1
Preterm premature rupture of membranes,SERPINH1
Pretibial epidermolysis bullosa,COL7A1
"Primary aldosteronism, seizures, and neurologic abnormalities",CACNA1D
Primary autosomal recessive microcephaly,
Primary autosomal recessive microcephaly 1,MCPH1
Primary autosomal recessive microcephaly 10,ZNF335
Primary autosomal recessive microcephaly 11,PHC1
Primary autosomal recessive microcephaly 12,CDK6
Primary autosomal recessive microcephaly 13,CENPE
Primary autosomal recessive microcephaly 14,SASS6
Primary autosomal recessive microcephaly 15,MFSD2A
Primary autosomal recessive microcephaly 2,WDR62
Primary autosomal recessive microcephaly 3,CDK5RAP2
Primary autosomal recessive microcephaly 4,KNL1
Primary autosomal recessive microcephaly 5,ASPM
Primary autosomal recessive microcephaly 6,CENPJ
Primary autosomal recessive microcephaly 7,STIL
Primary autosomal recessive microcephaly 8,CEP135
Primary autosomal recessive microcephaly 9,CEP152
Primary ciliary dyskinesia,"DNAAF5, "
Primary ciliary dyskinesia 23,ODAD2
Primary ciliary dyskinesia 24,RSPH1
Primary ciliary dyskinesia 25,DNAAF4
Primary dilated cardiomyopathy,"ABCC9, ACTC1, ACTN2, ANKRD1, BAG3, CSRP3, DES, DSG2, EYA4, FKTN, LDB3, LMNA, MYBPC3, MYH6, NEXN, PLN, PSEN1, PSEN2, RBM20, SGCD, TAFAZZIN, TCAP, TMPO, TNNT2, TPM1, TTN, VCL, "
Primary erythromelalgia,SCN9A
Primary familial dilated cardiomyopathy,
Primary familial hypertrophic cardiomyopathy,"ACTN2, TCAP, "
Primary familial polycythemia due to EPO receptor mutation,"EPOR, JAK2, SH2B3"
Primary hyperoxaluria,
"Primary hyperoxaluria, type I",AGXT
"Primary hyperoxaluria, type II",GRHPR
"Primary hyperoxaluria, type III",HOGA1
"Primary hypertrophic osteoarthropathy, autosomal recessive 2",SLCO2A1
Primary hypomagnesemia,CLDN16
Primary localized cutaneous amyloidosis 1,OSMR
Primary open angle glaucoma,OPTN
Primary pulmonary hypertension,
Primary pulmonary hypertension 1,BMPR2
Primary pulmonary hypertension 2,SMAD9
Primary pulmonary hypertension 3,CAV1
Primary pulmonary hypertension 4,KCNK3
Progesterone resistance,PGR
Progressive bifocal chorioretinal atrophy,LOC111365204
Progressive bulbar palsy of childhood,SLC52A3
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6",DNA2
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 1",POLG
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2",RNASEH1
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 3",TK2
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4",DGUOK
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5",TOP3A
Progressive familial heart block type IB,TRPM4
"Progressive familial heart block, type 1A",SCN5A
Progressive familial intrahepatic cholestasis 2,ABCB11
Progressive familial intrahepatic cholestasis 3,ABCB4
Progressive familial intrahepatic cholestasis 4,TJP2
Progressive myoclonus epilepsy,
Progressive myoclonus epilepsy with ataxia,PRICKLE1
Progressive myositis ossificans,ACVR1
Progressive osseous heteroplasia,GNAS
Progressive pseudorheumatoid dysplasia,CCN6
Progressive sclerosing poliodystrophy,POLG
Progressive supranuclear ophthalmoplegia,
Progressive supranuclear palsy,
Prolidase deficiency,PEPD
Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome,FLVCR2
Proline dehydrogenase deficiency,PRODH
Proopiomelanocortin deficiency,POMC
"Properdin deficiency, X-linked",CFP
Propionic acidemia,"PCCA, PCCB"
Proprotein convertase 1/3 deficiency,PCSK1
"Prostate cancer, hereditary, 1",RNASEL
"Prostate cancer, hereditary, 12",EHBP1
"Prostate cancer, hereditary, 13",MSMB
"Prostate cancer, hereditary, 2",ELAC2
"Prostate cancer, hereditary, 9",HOXB13
Prostate cancer/brain cancer susceptibility,EPHB2
Protan defect,OPN1LW
Proteasome-associated autoinflammatory syndrome 1,PSMB8
Proteasome-associated autoinflammatory syndrome 2,POMP
Proteasome-associated autoinflammatory syndrome 3,"PSMB4, PSMB9"
Proteasome-associated autoinflammatory syndrome 4,PSMG2
Proteasome-associated autoinflammatory syndrome 5,PSMB10
Protein-losing enteropathy (disease),CD55
Protein Z deficiency,PROZ
"Proteinuria, chronic benign",CUBN
"Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis",CLCN5
Proteus syndrome,AKT1
"Prothrombin deficiency, congenital",F2
"Protoporphyria, erythropoietic, 1",FECH
"Protoporphyria, erythropoietic, 2",CLPX
"Protoporphyria, erythropoietic, X-linked",ALAS2
Prune belly syndrome,CHRM3
Pseudo-Hurler polydystrophy,GNPTAB
Pseudo-TORCH syndrome 1,OCLN
Pseudo-TORCH syndrome 2,USP18
Pseudo-TORCH syndrome 3,STAT2
Pseudo von Willebrand disease,GP1BA
Pseudoachondroplastic spondyloepiphyseal dysplasia syndrome,COMP
Pseudoexfoliation glaucoma,LOXL1
Pseudofolliculitis barbae,KRT75
"Pseudohyperkalemia, familial, 2, due to red cell leak",ABCB6
Pseudohypoaldosteronism type 2A,
Pseudohypoaldosteronism type 2B,WNK4
Pseudohypoaldosteronism type 2C,WNK1
Pseudohypoaldosteronism type 2D,KLHL3
Pseudohypoaldosteronism type 2E,CUL3
"Pseudohypoaldosteronism, type 2","CUL3, KLHL3, WNK1, WNK4"
Pseudohypoparathyroidism,
Pseudohypoparathyroidism type 1B,"GNAS, GNAS-AS1, STX16"
Pseudohypoparathyroidism type 1C,GNAS
Pseudohypoparathyroidism type I A,GNAS
Pseudopseudohypoparathyroidism,GNAS
Pseudoxanthoma elasticum,"ABCC6, XYLT1, XYLT2"
Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency,GGCX
"Pseudoxanthoma elasticum, forme fruste",ABCC6
Psoriasiform dermatitis,MSMO1
"Psoriasis 15, pustular, susceptibility to",AP1S3
Psoriasis susceptibility 1,HLA-C
Psoriasis susceptibility 13,TRAF3IP2
Psoriasis susceptibility 2,CARD14
Psoriasis susceptibility 7,IL23R
"Psoriatic arthritis, susceptibility to",LTA
"Psychomotor retardation, epilepsy, and craniofacial dysmorphism",SNIP1
PTEN hamartoma tumor syndrome,"PTEN, "
"Ptosis, hereditary congenital 1",ZFHX4
PULMONARY ALVEOLAR MICROLITHIASIS,SLC34A2
"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 1",TERT
"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 2",TERC
"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 3",RTEL1
"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 4",PARN
"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 5",ZCCHC8
"Pulmonary hypertension, neonatal, susceptibility to",CPS1
Pulmonary surfactant metabolism dysfunction,
Pulmonary venoocclusive disease,
"Pulmonary venoocclusive disease 1, autosomal dominant",BMPR2
"Pulmonary venoocclusive disease 2, autosomal recessive",EIF2AK4
Punctate palmoplantar keratoderma type 1,
"Pure gonadal dysgenesis 46,XY",
Purine-nucleoside phosphorylase deficiency,PNP
"Pustular psoriasis, generalized",IL36RN
Pyknodysostosis,CTSK
Pyle metaphyseal dysplasia,SFRP4
Pyogenic arthritis-pyoderma gangrenosum-acne syndrome,PSTPIP1
Pyridoxal phosphate-responsive seizures,PNPO
Pyridoxine-dependent epilepsy,"ALDH7A1, "
Pyruvate carboxylase deficiency,PC
Pyruvate dehydrogenase complex deficiency,
Pyruvate dehydrogenase E1-alpha deficiency,PDHA1
Pyruvate dehydrogenase E1-beta deficiency,PDHB
Pyruvate dehydrogenase E2 deficiency,DLAT
Pyruvate dehydrogenase E3-binding protein deficiency,PDHX
Pyruvate dehydrogenase lipoic acid synthetase deficiency,LIAS
Pyruvate dehydrogenase phosphatase deficiency,PDP1
Pyruvate kinase deficiency of red cells,PKLR
Qualitative or quantitative defects of dysferlin,
Quebec platelet disorder,PLAU
"Question mark ears, isolated",EDN1
Radial aplasia-thrombocytopenia syndrome,RBM8A
Radin blood group,ERMAP
RADIO-TARTAGLIA SYNDROME,SPEN
Radiohumeral fusions with other skeletal and craniofacial anomalies,CYP26B1
Radioulnar synostosis with amegakaryocytic thrombocytopenia 1,HOXA11
Radioulnar synostosis with amegakaryocytic thrombocytopenia 2,MECOM
Rahman syndrome,H1-4
Rajab interstitial lung disease with brain calcifications 1,FARSB
Rajab interstitial lung disease with brain calcifications 2,FARSA
Rapadilino syndrome,RECQL4
RAPH BLOOD GROUP SYSTEM,CD151
Rapp-Hodgkin ectodermal dysplasia syndrome,TP63
RAS-associated autoimmune leukoproliferative disorder,"KRAS, NRAS"
Rasburicase response,G6PD
Rasopathy,
Recessive dystrophic epidermolysis bullosa,"COL7A1, MMP1"
Recombination rate quantitative trait locus 1,RNF212
Red-green color vision defects,
Red-green dyschromatopsia,
Regressive spondylometaphyseal dysplasia,LBR
Reis-Bucklers' corneal dystrophy,TGFBI
Renal-hepatic-pancreatic dysplasia 1,NPHP3
Renal-hepatic-pancreatic dysplasia 2,NEK8
Renal carnitine transport defect,SLC22A5
"Renal cell carcinoma, nonpapillary","FLCN, HNF1A, HNF1B, OGG1, PBRM1, RNF139, VHL"
"Renal cell carcinoma, papillary, 1","MET, PRCC"
"Renal cell carcinoma, Xp11-associated",TFE3
Renal coloboma syndrome,PAX2
Renal cysts and diabetes syndrome,HNF1B
Renal dysplasia,"ACE, AGT, AGTR1, REN"
Renal dysplasia and retinal aplasia,
"Renal dysplasia, cystic, susceptibility to",BICC1
Renal hypodysplasia/aplasia 1,ITGA8
Renal hypodysplasia/aplasia 2,FGF20
Renal hypodysplasia/aplasia 3,GREB1L
Renal hypomagnesemia 2,FXYD2
Renal hypouricemia 2,SLC2A9
Renal tubular acidosis with progressive nerve deafness,ATP6V1B1
"Renal tubular acidosis, distal, autosomal recessive",ATP6V0A4
"Renal tubular acidosis, distal, with hemolytic anemia",SLC4A1
"Renal tubular acidosis, proximal, with ocular abnormalities and mental retardation",SLC4A4
Renpenning syndrome 1,PQBP1
"Respiratory papillomatosis, juvenile recurrent, congenital",NLRP1
Resting heart rate,ADRB1
Reticular dysgenesis,AK2
Reticulate acropigmentation of Kitamura,ADAM10
Retinal arterial macroaneurysm with supravalvular pulmonic stenosis,IGFBP7
"Retinal arteries, tortuosity of",COL4A1
Retinal cone dystrophy 3A,PDE6H
Retinal cone dystrophy 4,CACNA2D4
Retinal dystrophy and iris coloboma with or without congenital cataract,MIR204
RETINAL DYSTROPHY AND MICROVILLUS INCLUSION DISEASE,STX3
Retinal dystrophy and obesity,TUB
Retinal dystrophy with inner retinal dysfunction and ganglion cell abnormalities,ITM2B
Retinal dystrophy with leukodystrophy,ACBD5
Retinal dystrophy with or without extraocular anomalies,RCBTB1
Retinal dystrophy with or without macular staphyloma,CFAP410
"Retinal dystrophy, iris coloboma, and comedogenic acne syndrome",RBP4
"Retinal dystrophy, juvenile cataracts, and short stature syndrome",RDH11
Retinal macular dystrophy type 2,PROM1
Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations,TREX1
Retinitis pigmentosa,"AIPL1, ARL6, CFAP418, CLRN1, CNGA1, CRX, LRAT, PDE6G, RBP3, ROM1, "
Retinitis pigmentosa-hearing loss-premature aging-short stature-facial dysmorphism syndrome,EXOSC2
Retinitis pigmentosa 1,RP1
Retinitis pigmentosa 10,IMPDH1
Retinitis pigmentosa 11,PRPF31
Retinitis pigmentosa 12,CRB1
Retinitis pigmentosa 13,PRPF8
Retinitis pigmentosa 14,TULP1
Retinitis pigmentosa 15,RPGR
Retinitis pigmentosa 18,PRPF3
Retinitis pigmentosa 19,ABCA4
Retinitis pigmentosa 2,RP2
Retinitis pigmentosa 20,RPE65
Retinitis pigmentosa 23,OFD1
Retinitis pigmentosa 25,EYS
Retinitis pigmentosa 26,CERKL
Retinitis pigmentosa 27,NRL
Retinitis pigmentosa 28,FAM161A
Retinitis pigmentosa 30,FSCN2
Retinitis pigmentosa 31,TOPORS
Retinitis pigmentosa 32,CLCC1
Retinitis pigmentosa 33,SNRNP200
Retinitis pigmentosa 35,SEMA4A
Retinitis pigmentosa 36,PRCD
Retinitis pigmentosa 37,NR2E3
Retinitis pigmentosa 38,MERTK
Retinitis pigmentosa 39,USH2A
Retinitis pigmentosa 4,RHO
Retinitis pigmentosa 40,PDE6B
Retinitis pigmentosa 41,PROM1
Retinitis pigmentosa 42,KLHL7
Retinitis pigmentosa 43,PDE6A
Retinitis pigmentosa 44,RGR
Retinitis pigmentosa 45,CNGB1
Retinitis pigmentosa 46,IDH3B
Retinitis pigmentosa 47,SAG
Retinitis pigmentosa 48,GUCA1B
Retinitis pigmentosa 49,CNGA1
Retinitis pigmentosa 50,BEST1
Retinitis pigmentosa 51,TTC8
Retinitis pigmentosa 54,PCARE
Retinitis pigmentosa 55,ARL6
Retinitis pigmentosa 56,IMPG2
Retinitis pigmentosa 57,PDE6G
Retinitis pigmentosa 58,ZNF513
Retinitis pigmentosa 59,DHDDS
Retinitis pigmentosa 60,PRPF6
Retinitis pigmentosa 61,CLRN1
Retinitis pigmentosa 62,MAK
Retinitis pigmentosa 66,RBP3
Retinitis pigmentosa 67,NEK2
Retinitis pigmentosa 68,SLC7A14
Retinitis pigmentosa 69,KIZ
Retinitis pigmentosa 7,"PRPH2, ROM1"
Retinitis pigmentosa 70,PRPF4
Retinitis pigmentosa 71,IFT172
Retinitis pigmentosa 72,ZNF408
Retinitis pigmentosa 73,HGSNAT
Retinitis pigmentosa 74,BBS2
Retinitis pigmentosa 75,AGBL5
Retinitis pigmentosa 76,POMGNT1
Retinitis pigmentosa 77,REEP6
Retinitis pigmentosa 78,ARHGEF18
Retinitis pigmentosa 79,HK1
Retinitis pigmentosa 80,IFT140
Retinitis pigmentosa 81,IFT43
Retinitis pigmentosa 82 with or without situs inversus,ARL2BP
Retinitis pigmentosa 83,ARL3
Retinitis pigmentosa 84,DHX38
Retinitis pigmentosa 85,AHR
Retinitis pigmentosa 86,KIAA1549
Retinitis pigmentosa 87 with choroidal involvement,RPE65
Retinitis pigmentosa 88,RP1L1
Retinitis pigmentosa 89,KIF3B
Retinitis pigmentosa 9,RP9
Retinitis pigmentosa 90,IDH3A
Retinitis pigmentosa and erythrocytic microcytosis,TRNT1
Retinitis pigmentosa with or without skeletal anomalies,CWC27
"Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness",RPGR
Retinoblastoma,RB1
Rett syndrome,MECP2
"Rett syndrome, congenital variant",FOXG1
Revesz syndrome,TINF2
Reynolds syndrome,LBR
"RH-NULL, AMORPH TYPE",RHCE
"Rh-null, regulator type",RHAG
Rhabdoid tumor predisposition syndrome,
Rhabdoid tumor predisposition syndrome 1,SMARCB1
Rhabdoid tumor predisposition syndrome 2,SMARCA4
Rhabdomyosarcoma 1,SLC22A18
"Rhabdomyosarcoma, embryonal, 2",DICER1
Rheumatoid arthritis,"CD244, CIITA, IL10, NFKBIL1, PTPN22, SLC22A4"
"Rheumatoid arthritis, systemic juvenile","IL6, MIF"
Rhizomelic chondrodysplasia punctata,
Rhizomelic chondrodysplasia punctata type 1,PEX7
Rhizomelic chondrodysplasia punctata type 2,GNPAT
Rhizomelic chondrodysplasia punctata type 3,AGPS
Rhizomelic chondrodysplasia punctata type 5,PEX5
Rhizomelic limb shortening with dysmorphic features,PKDCC
RHYNS syndrome,TMEM67
Ribavirin response,IFNL3
Richieri Costa-Pereira syndrome,EIF4A3
Rickets,
Riddle syndrome,RNF168
Rieger syndrome,
Rigid spine syndrome,
"Rigidity and multifocal seizure syndrome, lethal neonatal",BRAT1
Ring dermoid of cornea,PITX2
Rippling muscle disease,
Rippling muscle disease 2,CAV3
Ritscher-Schinzel syndrome 1,WASHC5
Ritscher-schinzel syndrome 2,CCDC22
Ritscher-Schinzel syndrome 3,VPS35L
RITSCHER-SCHINZEL SYNDROME 4,DPYSL5
Roberts-SC phocomelia syndrome,ESCO2
Robinow-Sorauf syndrome,TWIST1
"Robinow syndrome, autosomal dominant 1","DVL1, WNT5A"
"Robinow syndrome, autosomal dominant 2",DVL1
"Robinow syndrome, autosomal dominant 3",DVL3
"Robinow syndrome, autosomal recessive",ROR2
"Robinow syndrome, autosomal recessive 2",NXN
Roifman-Chitayat syndrome,"KNSTRN, PIK3CD"
Roifman syndrome,RNU4ATAC
Rolandic epilepsy,
Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,TBC1D24
"Rolandic epilepsy with mental retardation and speech dyspraxia, X-linked",SRPX2
Rosiglitazone response,CYP2C8
Rothmund-Thomson syndrome type 1,ANAPC1
Rothmund-Thomson syndrome type 2,RECQL4
Rotor syndrome,"SLCO1B1, SLCO1B3"
Roussy-Lévy syndrome,"MPZ, PMP22"
Rubinstein-Taybi syndrome,
Rubinstein-Taybi syndrome 1,"CREBBP, EP300"
Rubinstein-Taybi syndrome 2,EP300
Ruijs-Aalfs syndrome,SPRTN
Russell-Silver syndrome,"H19-ICR, IGF2"
Sacral agenesis with vertebral anomalies,TBXT
Saethre-Chotzen syndrome,"FGFR2, TWIST1"
Saldino-Mainzer syndrome,IFT140
Salla disease,SLC17A5
Sandestig-stefanova syndrome,NUP188
Sandhoff disease,HEXB
Sanfilippo syndrome,
Sarcoglycanopathy,
Sarcoidosis 1,HLA-DRB1
Sarcoidosis 2,BTNL2
Sarcosine dehydrogenase deficiency,SARDH
Sarcotubular myopathy,TRIM32
Scalp-ear-nipple syndrome,KCTD1
"Scaphocephaly, maxillary retrusion, and mental retardation",FGFR2
"Scapuloperoneal myopathy, X-linked dominant",FHL1
Scapuloperoneal spinal muscular atrophy,TRPV4
Schaaf-Yang syndrome,MAGEL2
Schimke immuno-osseous dysplasia,SMARCAL1
Schinzel-Giedion syndrome,SETBP1
Schinzel phocomelia syndrome,WNT7A
Schizencephaly,"EMX2, SHH, SIX3"
Schizophrenia,"APOL2, APOL4, CHI3L1, COMT, DAOA, DISC2, DRD3, HTR2A, MTHFR, RTN4R, SYN2, "
Schizophrenia 15,SHANK3
Schizophrenia 17,NRXN1
Schizophrenia 18,SLC1A1
Schizophrenia 19,RBM12
Schizophrenia 4,PRODH
Schizophrenia 6,NRG1
Schizophrenia 9,DISC1
Schneckenbecken dysplasia,SLC35D1
Schnyder crystalline corneal dystrophy,UBIAD1
Schopf-Schulz-Passarge syndrome,WNT10A
Schuurs-hoeijmakers syndrome,PACS1
Schwannomatosis,"LZTR1, SMARCB1"
Schwannomatosis 1,"NF2, SMARCB1"
Schwannomatosis 2,LZTR1
Schwartz-Jampel syndrome,HSPG2
"Sclerosing cholangitis, neonatal",DCDC2
Sclerosteosis,
Sclerosteosis 1,SOST
Sclerosteosis 2,LRP4
SCN2A-related generalized epilepsy with febrile seizures plus,SCN2A
SCOTT SYNDROME,ANO6
Sea-blue histiocyte syndrome,APOE
Seborrhea-like dermatitis with psoriasiform elements,ZNF750
Seborrheic keratosis,PIK3CA
Seckel syndrome 1,ATR
Seckel syndrome 10,NSMCE2
Seckel syndrome 2,RBBP8
